Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	18:30 3/3/2020	129
Lana	18:30 3/3/2020	109
Mike	5:48 1/4/3921	149
Mike	5:48 1/4/3921	176
Lana	5:48 1/4/3921	113
Tom	5:48 1/4/3921	133
Mike	5:49 1/4/3921	127
TomH	8:42 1/3/2021	121
Tom	8:42 1/3/2021	170
Jim	8:42 1/3/2021	129
BB	8:43 1/3/2021	143
Mike	8:43 1/3/2021	133
TomH	8:43 1/3/2021	152
Mike	8:43 1/3/2021	128
Tom	8:44 1/3/2021	101
Jim	8:44 1/3/2021	116
BB	8:44 1/3/2021	164
Lana	8:44 1/3/2021	89
TomH	8:44 1/3/2021	119
Lana	9:2 1/4/3921	132
Lana	9:2 1/4/3921	128
Jim	9:16 1/4/3921	133
